time,result,table,controller,site,power_factor_avg,power_factor_l1,power_factor_l2,power_factor_l3,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,apparent_power_l1,apparent_power_l2,apparent_power_l3,apparent_power_total,power_l1,power_l2,power_l3
2026-01-26 21:15:00+00:00,0.0,2.0,0.0,0.0,0.66,0.6366666666666667,0.69,0.65,0.0,4.426666666666667,5.663333333333334,8.906666666666666,238.63333333333333,236.33333333333334,238.5666666666667,1.0551899999999999,1.3383366666666667,2.12675,4.518873333333333,0.6689336666666666,0.925605,1.3864133333333333
2026-01-26 21:30:00+00:00,0.0,1.9444444444444444,0.0,0.0,0.66,0.63,0.6900000000000001,0.65,0.0,4.44,5.67,8.92,238.9,236.6,238.9,1.05843,1.33769,2.13311,4.53098,0.670219,0.927491,1.38798
2026-01-26 21:45:00+00:00,0.0,1.972972972972973,0.0,0.0,0.66,0.63,0.6900000000000001,0.65,0.0,4.44,5.67,8.92,238.9,236.6,238.9,1.05843,1.33769,2.13311,4.53098,0.670219,0.927491,1.38798
2026-01-26 22:00:00+00:00,0.0,1.972972972972973,0.0,0.0,0.66,0.63,0.6900000000000001,0.65,0.0,4.44,5.67,8.92,238.9,236.6,238.9,1.05843,1.33769,2.13311,4.53098,0.670219,0.927491,1.38798
2026-01-26 22:15:00+00:00,0.0,1.972972972972973,0.0,0.0,0.66,0.63,0.6900000000000001,0.65,0.0,4.44,5.67,8.92,238.9,236.6,238.9,1.05843,1.33769,2.13311,4.53098,0.670219,0.927491,1.38798
2026-01-26 22:30:00+00:00,0.0,1.972972972972973,0.0,0.0,0.66,0.63,0.6900000000000001,0.65,0.0,4.44,5.67,8.92,238.9,236.6,238.9,1.05843,1.33769,2.13311,4.53098,0.670219,0.927491,1.38798
2026-01-26 22:45:00+00:00,0.0,1.972972972972973,0.0,0.0,0.66,0.63,0.6900000000000001,0.65,0.0,4.44,5.67,8.92,238.9,236.6,238.9,1.05843,1.33769,2.13311,4.53098,0.670219,0.927491,1.38798
2026-01-26 23:00:00+00:00,0.0,2.0714285714285716,0.0,0.0,0.66,0.64,0.69,0.65,0.0,4.45,5.69,8.94,239.6,237.2,239.4,1.06428,1.34635,2.13929,4.54911,0.676403,0.931243,1.39699
2026-01-26 23:15:00+00:00,0.0,2.0555555555555554,0.0,0.0,0.67,0.65,0.7042857142857143,0.66,0.0,4.315714285714286,5.594285714285713,8.735714285714286,235.8,233.4,235.7,1.017647142857143,1.304377142857143,2.06066,4.3842357142857145,0.6588944285714285,0.9195202857142857,1.36432
2026-01-26 23:30:00+00:00,0.0,1.951219512195122,0.0,0.0,0.67,0.65,0.7,0.66,0.0,4.32,5.59,8.74,235.8,233.4,235.7,1.01949,1.30571,2.0618,4.38874,0.659173,0.918793,1.36261
2026-01-26 23:45:00+00:00,0.0,2.0,0.0,0.0,0.67,0.65,0.6999999999999998,0.66,0.0,4.32,5.59,8.74,235.80000000000004,233.4,235.69999999999996,1.01949,1.30571,2.0618,4.38874,0.659173,0.918793,1.36261
