time,result,table,controller,site,digital_input_1_and_2,power_factor_avg,power_factor_l1,power_factor_l2,power_factor_l3,units,current_l1_thd,current_l3_thd,current_unbalance,volts_l1_thd,volts_l2_thd,volts_l3_thd,volts_unbalance,current_avg,current_l1,current_l2,current_l3,freq,volts_l1_l2,volts_l1_n,volts_l2_l3,volts_l2_n,volts_l3_l1,volts_l3_n,volts_l_l_avg,volts_l_n_avg,apparent_power_demand,apparent_power_l1,apparent_power_l2,apparent_power_l3,apparent_power_total,apparent_energy,reactive_power_demand,reactive_energy_export,reactive_energy_import,max_power_demand,power_demand,power_l1,power_l2,power_l3,power_total,energy_export,energy_import,reactive_power_l1,reactive_power_l2,reactive_power_l3,reactive_power_total
2026-02-01 10:15:00+00:00,0.0,5.517241379310345,0.0,0.0,0.0,0.6742857142857144,0.6557142857142857,0.7085714285714285,0.66,0.0,7.271428571428571,4.614285714285714,41.028571428571425,1.4857142857142858,2.442857142857143,2.2,0.5428571428571428,6.1499999999999995,4.2057142857142855,5.558571428571428,8.675714285714287,49.957142857142856,403.61428571428576,234.42857142857142,405.0857142857143,232.45714285714286,404.9428571428571,234.17142857142858,404.54285714285714,233.68571428571428,4.631428571428572,0.9867558571428571,1.2938471428571428,2.0362699999999996,4.3176499999999995,10111.514285714287,2.0414285714285714,117.3,5924.614285714286,4.93,3.2285714285714286,0.6469858571428572,0.9121567142857143,1.343837142857143,2.907382857142857,182.8,7718.671428571428,0.7433362857142857,0.9155464285714286,1.524297142857143,3.182328571428571
2026-02-01 10:30:00+00:00,0.0,5.573333333333333,0.0,0.0,0.0,0.6783333333333333,0.6583333333333333,0.71,0.6683333333333333,0.0,3.283333333333333,3.766666666666667,40.5,0.7999999999999999,2.0333333333333337,1.2833333333333334,0.5166666666666667,6.153333333333333,4.255,5.55,8.653333333333334,50.06666666666666,403.01666666666665,234.03333333333333,404.61666666666673,232.1,404.25,234.0666666666667,404.01666666666665,233.4,4.63,0.9964516666666667,1.2892916666666667,2.027838333333333,4.316223333333333,10112.416666666666,2.0316666666666667,117.3,5925.25,4.93,3.2383333333333333,0.6559415,0.9149741666666666,1.3467766666666667,2.9114299999999997,182.80000000000004,7719.333333333333,0.7500271666666666,0.907296,1.51514,3.1741483333333336
2026-02-01 10:45:00+00:00,0.0,5.3173076923076925,0.0,0.0,0.0,0.69875,0.72375,0.71,0.67,0.0,5.5874999999999995,5.5875,34.775,1.4,2.0,1.65,0.5125,6.63,5.67625,5.54875,8.66875,50.1,402.975,233.8,404.6,232.1625,404.35,234.25,403.975,233.425,4.63,1.325103,1.2854975,2.0284187499999997,4.64091375,10113.6,2.03,117.3,5926.0625,4.93,3.24,0.9896916250000001,0.9131097499999999,1.35029625,3.254505,182.8,7720.1625,0.8641123749999999,0.9060088749999999,1.51523125,3.286455
2026-02-01 11:00:00+00:00,0.0,5.634408602150538,0.0,0.0,0.0,0.7299999999999999,0.83,0.71,0.67,0.0,3.1,7.5,25.1,1.5,1.8,1.3,0.4,7.43,8.04,5.56,8.7,50.1,403.2,233.6,405.0,232.4,404.6,234.5,404.2,233.6,4.63,1.87347,1.28724,2.03388,5.19925,10114.1,2.03,117.3,5926.4,4.93,3.2399999999999998,1.55061,0.915418,1.34935,3.8168600000000006,182.8,7720.5,1.05393,0.9087310000000001,1.51969,3.48223
2026-02-01 11:15:00+00:00,0.0,5.523255813953488,0.0,0.0,0.0,0.7014285714285714,0.7271428571428571,0.71,0.66,0.0,6.228571428571428,5.014285714285714,34.44285714285714,1.2714285714285716,1.6428571428571428,1.7142857142857142,0.5,6.927142857142857,6.574285714285715,5.5442857142857145,8.671428571428573,50.0,402.24285714285713,233.20000000000002,403.85714285714283,231.81428571428572,403.74285714285713,233.81428571428572,403.12857142857143,233.0,4.625714285714286,1.3951597142857144,1.2828642857142858,2.0246971428571428,4.702722857142858,10115.914285714287,2.025714285714286,117.3,5927.671428571428,4.93,3.235714285714286,1.190745,0.9112135714285714,1.343157142857143,3.31299,182.8,7721.671428571428,0.8963211428571428,0.905222,1.51338,3.3139399999999997
2026-02-01 11:30:00+00:00,0.0,5.458333333333333,0.0,0.0,0.0,0.68,0.66,0.71,0.67,0.0,7.800000000000001,6.7,40.6,2.9,2.3,2.6,0.5,6.15,4.26,5.54,8.64,50.0,402.4,233.60000000000002,403.9,231.80000000000004,404.1,233.69999999999996,403.1,233.10000000000002,4.62,0.9896610000000001,1.27913,2.01961,4.29133,10116.6,2.02,117.30000000000001,5928.3,4.93,3.23,0.652675,0.911687,1.33845,2.90409,182.8,7722.299999999999,0.747166,0.902632,1.50781,3.15583
2026-02-01 11:45:00+00:00,0.0,5.537735849056604,0.0,0.0,0.0,0.7014285714285714,0.7328571428571429,0.71,0.6614285714285714,0.0,4.628571428571428,6.828571428571428,33.95714285714286,1.5285714285714285,1.3142857142857143,1.7,0.5,6.67,5.838571428571428,5.524285714285715,8.637142857142857,50.042857142857144,401.35714285714283,233.0142857142857,402.90000000000003,231.5142857142857,402.5857142857143,233.55714285714288,402.1714285714285,232.44285714285712,4.611428571428571,1.3587801428571429,1.281337142857143,2.020835714285714,4.664508571428572,10118.142857142857,2.02,117.3,5929.328571428572,4.93,3.23,1.0304211428571428,0.9096175714285714,1.3464371428571429,3.2827928571428573,182.8,7723.328571428572,0.8695519999999999,0.8974037142857142,1.5086614285714286,3.279385714285714
2026-02-01 12:00:00+00:00,0.0,5.34065934065934,0.0,0.0,0.0,0.68,0.66,0.71,0.6685714285714287,0.0,7.542857142857143,2.3555555555555556,40.7,2.3857142857142857,1.6714285714285715,1.0142857142857142,0.6,6.132857142857143,4.241428571428572,5.531428571428571,8.624285714285714,49.91428571428571,401.4142857142857,233.22857142857143,402.85714285714283,231.17142857142858,402.7142857142857,233.17142857142858,402.42857142857144,232.55714285714288,4.611428571428571,0.9864415714285715,1.2774157142857143,2.01408,4.279135714285714,10119.242857142857,2.02,117.3,5930.2,4.93,3.23,0.6506358571428572,0.9104562857142857,1.3373714285714284,2.9019057142857143,182.8,7724.099999999999,0.7419022857142857,0.8992842857142858,1.5024271428571427,3.14582
2026-02-01 12:15:00+00:00,0.0,5.46,0.0,0.0,0.0,0.68,0.66,0.71,0.66,0.0,7.2,2.4,40.7,2.9,2.1,1.1,0.6,6.15,4.25,5.54,8.65,50.0,402.1,233.4,403.8,231.6,403.4,233.6,403.2,232.9,4.62,0.991401,1.28273,2.01942,4.29309,10120.1,2.02,117.3,5930.8,4.93,3.23,0.650977,0.909234,1.33834,2.90128,182.8,7724.7,0.74704,0.904602,1.50859,3.15518
2026-02-01 12:30:00+00:00,0.0,5.279569892473118,0.0,0.0,0.0,0.6971428571428572,0.7242857142857143,0.71,0.66,0.0,4.371428571428572,2.6999999999999997,34.05714285714286,1.2285714285714284,1.542857142857143,1.4857142857142858,0.4714285714285714,6.698571428571428,5.882857142857142,5.54,8.671428571428573,50.0,402.95714285714286,233.82857142857142,404.65714285714284,232.24285714285716,404.38571428571424,234.15714285714284,404.0571428571429,233.45714285714286,4.62,1.3743175714285714,1.2877185714285715,2.0313257142857144,4.6928785714285715,10121.6,2.02,117.3,5931.785714285715,4.93,3.23,1.0374682857142858,0.9092520000000001,1.3399342857142857,3.285091428571429,182.8,7725.728571428571,0.8860175714285715,0.9102252857142857,1.5241085714285716,3.3212342857142856
