result,table,controller,site,power_factor_avg,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,apparent_power_total,power_l1,power_l2,power_l3,power_total
0.0,1.975609756097561,0.0,0.0,0.78,0.0,0.64,0.55,0.72,234.7625,233.325,235.125,0.446866375,0.1279775,0.101696,0.11904875,0.34853375
0.0,1.9722222222222223,0.0,0.0,0.8585714285714285,0.0,0.49714285714285716,0.40714285714285714,0.5485714285714286,234.41428571428574,233.0,234.8857142857143,0.33956957142857147,0.10862842857142858,0.08355538571428571,0.09726177142857143,0.28943214285714286
0.0,1.975609756097561,0.0,0.0,0.89,0.0,0.44,0.35,0.48,234.4375,233.075,235.0125,0.29633075,0.10060725,0.07618762500000001,0.088433175,0.265387625
0.0,2.0,0.0,0.0,0.8985714285714286,0.0,0.44,0.35,0.48,234.24285714285716,232.7571428571429,234.87142857142857,0.2958094285714286,0.100321,0.07599238571428571,0.0881636,0.26443114285714286
0.0,2.0,0.0,0.0,0.895,0.0,0.44,0.35,0.48,234.325,232.875,234.875,0.29597325,0.100426125,0.076118125,0.08827455,0.26462600000000003
0.0,2.0,0.0,0.0,0.895,0.0,0.44,0.35,0.48,234.4,232.8625,234.9,0.296594875,0.100740625,0.076166125,0.08850883749999999,0.265337375
0.0,1.9722222222222223,0.0,0.0,0.8928571428571429,0.0,0.44,0.35,0.48,234.81428571428572,233.22857142857143,235.28571428571428,0.296836,0.10067114285714286,0.07633295714285714,0.08852728571428571,0.26567928571428573
0.0,2.0,0.0,0.0,0.895,0.0,0.44,0.35,0.48,234.95,233.45,235.45,0.29691525,0.1008585,0.07646990000000001,0.088471825,0.26569125
0.0,2.027027027027027,0.0,0.0,0.8928571428571429,0.0,0.44,0.35,0.48,235.08571428571426,233.4857142857143,235.54285714285714,0.29767114285714286,0.100953,0.07634781428571429,0.08881558571428572,0.266267
0.0,2.0,0.0,0.0,0.89125,0.0,0.44,0.35,0.48,235.2,233.6375,235.775,0.29786825,0.10072875,0.07641945,0.088897175,0.266145125
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,235.18571428571428,233.62857142857143,235.62857142857143,0.2974461428571429,0.10073842857142856,0.07631755714285714,0.08846795714285714,0.2657305714285714
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,235.58571428571426,233.9857142857143,236.1142857142857,0.29843842857142855,0.101182,0.07663422857142857,0.08915378571428571,0.2668285714285714
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,236.35,234.625,236.825,0.299882,0.101646,0.076882825,0.0892882,0.26744025
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.20000000000002,235.5,237.6142857142857,0.30139885714285714,0.10195185714285714,0.07710405714285715,0.08975851428571428,0.2687265714285714
0.0,2.0555555555555554,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.05714285714288,235.29999999999998,237.64285714285714,0.301302,0.10202971428571428,0.07721985714285715,0.0898278,0.2690692857142857
0.0,2.0425531914893615,0.0,0.0,0.89,0.0,0.44,0.35,0.48000000000000004,237.45555555555555,235.8777777777778,237.9888888888889,0.30181911111111115,0.10219977777777778,0.07720388888888889,0.09006562222222222,0.269268
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.79999999999998,236.14285714285714,238.21428571428572,0.30235685714285715,0.10233114285714286,0.07749231428571428,0.09035877142857142,0.269714
0.0,2.0555555555555554,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.52857142857144,235.85714285714286,238.0,0.302386,0.10233814285714285,0.07725578571428572,0.09019361428571429,0.26989557142857146
0.0,2.0238095238095237,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.66250000000002,236.0375,238.15,0.30219050000000003,0.102143625,0.0772815125,0.090317125,0.26988575
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,238.02857142857144,236.44285714285712,238.5,0.30247214285714286,0.10227314285714285,0.07739894285714286,0.09017328571428572,0.26975514285714286
0.0,1.975609756097561,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.8625,236.1625,238.35,0.3022015,0.102369,0.0774062,0.09010955,0.26985725
0.0,2.0555555555555554,0.0,0.0,0.89,0.0,0.44,0.35,0.48,238.32857142857142,236.78571428571428,238.75714285714284,0.30350885714285714,0.10256200000000001,0.07759795714285714,0.09020468571428572,0.2705592857142857
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.4825,238.7625,237.175,239.175,0.304012125,0.102663875,0.0776992,0.0906761,0.2710825
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48375,239.0375,237.375,239.4625,0.304784,0.10301025,0.07787165,0.0908677875,0.2717085
