time,result,table,controller,site,power_factor_avg,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,power_total
2025-11-20 00:45:00+00:00,0.0,1.5333333333333334,e0205,0.0,0.9400000000000001,0.0,5.704285714285715,4.868571428571428,4.86,231.78571428571428,230.08571428571432,232.44285714285712,3.34453
2025-11-20 01:00:00+00:00,0.0,1.5,e0205,0.0,0.9400000000000001,0.0,5.72,4.881428571428572,4.87,230.84285714285716,229.20000000000002,231.65714285714284,3.3404057142857146
2025-11-20 01:15:00+00:00,0.0,1.5,e0205,0.0,0.93375,0.0,5.69875,4.84875,4.8375,232.8875,231.1875,233.5125,3.34690375
2025-11-20 01:30:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.9342857142857143,0.0,5.6899999999999995,4.831428571428572,4.837142857142857,233.67142857142858,231.92857142857142,234.4,3.3473785714285715
2025-11-20 01:45:00+00:00,0.0,1.4736842105263157,e0205,0.0,0.9300000000000002,0.0,5.693333333333333,4.831111111111111,4.836666666666667,233.35555555555558,231.66666666666666,234.15555555555557,3.34196
2025-11-20 02:00:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.68,4.84,4.81,233.4,231.8,234.2,3.33508
2025-11-20 02:15:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.68,4.84,4.81,233.4,231.8,234.2,3.33508
2025-11-20 02:30:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.68,4.84,4.81,233.4,231.8,234.2,3.33508
2025-11-20 02:45:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.68,4.84,4.81,233.4,231.8,234.2,3.33508
2025-11-20 03:00:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.68,4.84,4.81,233.4,231.8,234.2,3.33508
2025-11-20 03:15:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.68,4.84,4.81,233.4,231.8,234.2,3.33508
2025-11-20 03:30:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.68,4.84,4.81,233.4,231.8,234.2,3.33508
2025-11-20 03:45:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.68,4.84,4.81,233.4,231.8,234.2,3.33508
2025-11-20 04:00:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,4.84,4.75,4.86,235.7,233.8,236.2,3.14925
2025-11-20 04:15:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,4.8185714285714285,4.774285714285715,4.844285714285713,235.25714285714284,233.42857142857142,235.68571428571428,3.1440142857142854
2025-11-20 04:30:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,4.83,4.7871428571428565,4.79,234.95714285714286,233.04285714285714,235.32857142857142,3.133372857142857
2025-11-20 04:45:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.93,0.0,5.078571428571428,4.772857142857142,4.792857142857143,234.74285714285716,232.87142857142857,235.44285714285712,3.1959685714285717
2025-11-20 05:00:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.93,0.0,5.652857142857143,4.784285714285715,4.778571428571429,234.8857142857143,233.1142857142857,235.55714285714285,3.3412514285714288
2025-11-20 05:15:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.93,0.0,5.685714285714286,4.781428571428571,4.788571428571429,235.0,233.2,235.68571428571428,3.35479
2025-11-20 05:30:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.93,0.0,5.685714285714285,4.804285714285713,4.807142857142857,234.27142857142857,232.29999999999998,234.75714285714284,3.34171
2025-11-20 05:45:00+00:00,0.0,1.4848484848484849,e0205,0.0,0.93,0.0,5.6675,4.80375,4.79,234.4375,232.5625,235.025,3.33634375
2025-11-20 06:00:00+00:00,0.0,1.4827586206896552,e0205,0.0,0.93,0.0,5.652857142857143,4.79,4.79,234.77142857142857,233.0,235.3857142857143,3.3357157142857146
2025-11-20 06:15:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.93,0.0,5.660000000000001,4.801428571428572,4.791428571428571,234.41428571428568,232.62857142857143,235.02857142857144,3.3332728571428567
2025-11-20 06:30:00+00:00,0.0,1.5384615384615385,e0205,0.0,0.93,0.0,5.66,4.81,4.793333333333333,234.1,232.36666666666667,234.76666666666665,3.3330699999999998
2025-11-20 06:45:00+00:00,0.0,1.5161290322580645,e0205,0.0,0.93,0.0,5.677142857142857,4.814285714285715,4.802857142857143,233.98571428571427,232.14285714285714,234.6,3.3338814285714284
2025-11-20 07:00:00+00:00,0.0,1.5,e0205,0.0,0.935,0.0,5.669999999999999,4.82,4.795,233.89999999999998,232.10000000000002,234.70000000000002,3.3369699999999995
2025-11-20 07:15:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.67,4.81,4.804285714285713,234.05714285714288,232.32857142857145,234.8,3.329657142857143
2025-11-20 07:30:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.93,0.0,5.6571428571428575,4.81,4.788571428571429,234.32857142857142,232.3857142857143,234.94285714285712,3.3370714285714285
2025-11-20 07:45:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.93,0.0,5.660000000000001,4.81,4.81,234.2,232.27142857142857,234.84285714285716,3.3260671428571427
2025-11-20 08:00:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.93,0.0,5.645714285714285,4.805714285714286,4.8,234.18571428571428,232.4,234.94285714285712,3.328205714285714
2025-11-20 08:15:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.651428571428572,4.8,4.79,234.20000000000002,232.4857142857143,235.02857142857144,3.328534285714286
2025-11-20 08:30:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.66,4.83,4.79,233.9,232.1,234.6,3.33231
2025-11-20 08:45:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.655,4.815,4.78,233.85000000000002,231.95000000000002,234.5,3.3273950000000005
2025-11-20 09:00:00+00:00,0.0,1.5,e0205,0.0,0.932,0.0,5.664,4.812,4.779999999999999,233.74,232.01999999999998,234.48000000000002,3.331794
2025-11-20 09:15:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.645714285714285,4.792857142857143,4.79,234.58571428571426,232.71428571428572,235.25714285714284,3.3335399999999997
2025-11-20 09:30:00+00:00,0.0,1.4666666666666666,e0205,0.0,0.93,0.0,5.64,4.7871428571428565,4.778571428571428,235.41428571428574,233.6,236.02857142857144,3.3376914285714285
2025-11-20 09:45:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.637142857142857,4.797142857142857,4.761428571428572,236.12857142857143,234.32857142857142,236.72857142857143,3.34088
2025-11-20 10:00:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.93,0.0,5.618571428571428,4.795714285714285,4.751428571428571,236.98571428571427,235.24285714285716,237.64285714285714,3.344675714285714
2025-11-20 10:15:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.622857142857143,4.808571428571428,4.772857142857142,236.74285714285716,234.79999999999998,237.28571428571428,3.343597142857143
2025-11-20 10:30:00+00:00,0.0,1.4848484848484849,e0205,0.0,0.93,0.0,5.64,4.858750000000001,4.811249999999999,234.9375,233.075,235.58749999999998,3.34195
2025-11-20 10:45:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.6225000000000005,4.84875,4.8175,235.175,233.375,235.85,3.34601625
2025-11-20 11:00:00+00:00,0.0,1.48,e0205,0.0,0.855,0.0,3.5050000000000003,2.45,2.57,235.64999999999998,233.95000000000002,236.5,1.8332899999999999
2025-11-20 11:15:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.3877777777777776,0.04,0.33,236.36666666666665,234.72222222222223,237.43333333333334,0.32443144444444444
2025-11-20 11:30:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.3800000000000001,0.04,0.33,235.94285714285712,234.14285714285714,237.02857142857144,0.3227905714285714
