ahu_id,month,energy_score_flag,pf_score_flag,unbalance_score_flag,thd_score_flag,overload_score_flag
e0202,2026-01,0.39751344086021506,0.42439516129032256,0.31518817204301075,0.46001344086021506,0.011088709677419355
e0202,2026-02,0.42424242424242425,0.4630681818181818,0.30113636363636365,0.48863636363636365,0.0
e0203,2025-11,0.2874493927125506,0.3623481781376518,0.49352226720647774,0.5902834008097166,0.0
e0203,2025-12,0.6266801075268817,0.5557795698924731,0.5719086021505376,0.3897849462365591,0.0
e0203,2026-01,0.623991935483871,0.0023521505376344087,0.0023521505376344087,0.16969086021505375,0.0
e0203,2026-02,0.5,0.000946969696969697,0.000946969696969697,0.23768939393939395,0.0
e0204,2025-11,0.748582995951417,0.6793522267206478,0.6781376518218624,0.0,0.01700404858299595
e0204,2025-12,0.7483198924731183,0.5564516129032258,0.40860215053763443,0.030913978494623656,0.0030241935483870967
e0204,2026-01,0.2906586021505376,0.004704301075268817,0.0739247311827957,0.4122983870967742,0.0
e0204,2026-02,0.3494318181818182,0.0,0.0946969696969697,0.5018939393939394,0.0
e0205,2025-11,0.6867664912990692,0.6774585188182922,0.4763253743423715,0.0,0.02104411169566977
e0205,2025-12,0.7476478494623656,0.5544354838709677,0.2476478494623656,0.024193548387096774,0.03696236559139785
e0205,2026-01,0.2879704301075269,0.04838709677419355,0.3387096774193548,0.43111559139784944,0.0
e0205,2026-02,0.2793560606060606,0.008522727272727272,0.36553030303030304,0.42992424242424243,0.0
e0206,2025-11,0.5707928802588996,0.0,0.0024271844660194173,0.2034789644012945,0.06067961165048544
e0206,2025-12,0.6485215053763441,0.0,0.0,0.3803763440860215,0.06317204301075269
e0206,2026-01,0.36794354838709675,0.6760752688172043,0.655241935483871,0.2691532258064516,0.02049731182795699
e0206,2026-02,0.4090909090909091,0.6268939393939394,1.0,0.4346590909090909,0.09753787878787878
e0207,2025-11,0.5533980582524272,0.09506472491909385,0.7617313915857605,0.30339805825242716,0.08131067961165049
e0207,2025-12,0.668010752688172,0.03931451612903226,0.5547715053763441,0.6081989247311828,0.002688172043010753
e0207,2026-01,0.3602150537634409,0.34408602150537637,0.006720430107526882,0.049059139784946235,0.0020161290322580645
e0207,2026-02,0.3001893939393939,0.42803030303030304,0.01893939393939394,0.16193181818181818,0.004734848484848485
e0208,2025-11,0.4056143205858421,0.2884458909682669,0.4259560618388934,0.3079739625711961,0.0040683482506102524
e0208,2025-12,0.6471774193548387,0.1676747311827957,0.3387096774193548,0.4002016129032258,0.0010080645161290322
e0208,2026-01,0.4116263440860215,0.14180107526881722,0.2422715053763441,0.18548387096774194,0.007056451612903226
e0208,2026-02,0.6676136363636364,0.14867424242424243,0.5975378787878788,0.2623106060606061,0.004734848484848485
e0209,2025-11,0.43653376729048005,0.021969080553295363,0.07323026851098453,0.4084621643612693,0.1871440195280716
e0209,2025-12,0.6693548387096774,0.010080645161290322,0.05443548387096774,0.3185483870967742,0.01646505376344086
e0209,2026-01,0.36323924731182794,0.023185483870967742,0.47681451612903225,0.2012768817204301,0.006720430107526882
e0209,2026-02,0.7007575757575758,0.015151515151515152,0.4914772727272727,0.24621212121212122,0.03977272727272727
e0210,2025-11,0.15785191212367777,0.24125305126118796,0.3144833197721725,0.24450772986167615,0.0
e0210,2025-12,0.038306451612903226,0.5137768817204301,0.041666666666666664,0.23151881720430106,0.0
e0210,2026-01,0.13407258064516128,0.39381720430107525,0.1639784946236559,0.08131720430107527,0.0
e0210,2026-02,0.050189393939393936,0.65625,0.0,0.09848484848484848,0.0
e0211,2025-11,0.5423108218063466,0.4597233523189585,0.23637103336045565,0.2892595606183889,0.0
e0211,2025-12,0.5907258064516129,0.19086021505376344,0.5114247311827957,0.3165322580645161,0.023521505376344086
e0211,2026-01,0.4428763440860215,0.3088037634408602,0.40389784946236557,0.20161290322580644,0.04099462365591398
e0211,2026-02,0.5511363636363636,0.3835227272727273,0.6543560606060606,0.3740530303030303,0.0
e0212,2025-11,0.11065907241659886,0.21358828315703823,0.0500406834825061,0.2611879576891782,0.0
e0212,2025-12,0.48051075268817206,0.04603494623655914,0.03494623655913978,0.259744623655914,0.0
e0212,2026-01,0.7137096774193549,0.39885752688172044,0.6165994623655914,0.0,0.07258064516129033
e0212,2026-02,0.8238636363636364,0.3465909090909091,1.0,0.03977272727272727,0.6524621212121212
e0213,2025-11,0.45199349064279903,0.4369406021155411,0.05695687550854353,0.1822620016273393,0.1838893409275834
e0213,2025-12,0.667002688172043,0.5120967741935484,0.2799059139784946,0.3907930107526882,0.029233870967741934
e0213,2026-01,0.39919354838709675,0.3225806451612903,0.2872983870967742,0.16028225806451613,0.0003360215053763441
e0213,2026-02,0.5748106060606061,0.7509469696969697,0.6458333333333334,0.8371212121212122,0.1278409090909091
e0214,2025-11,0.3921887713588283,0.3930024410089504,0.3197721724979658,0.28966639544344996,0.0
e0214,2025-12,0.6229838709677419,0.5174731182795699,0.23118279569892472,0.3118279569892473,0.0
e0214,2026-01,0.3800403225806452,0.23219086021505375,0.2647849462365591,0.2644489247311828,0.0
e0214,2026-02,0.6126893939393939,0.41571969696969696,0.2471590909090909,0.27178030303030304,0.0
e0215,2025-11,0.30304259634888436,0.1411764705882353,0.11359026369168357,0.21379310344827587,0.0
